encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp
basic,0.01,4000,50000,0.49758985459112887,0.602832032801996,0.50018,0.5007128148265484,0.7572769015771611,4.367487192153931,9552,kip_m6,2026-09-10T15:23:06.007330
basic,0.1,40000,50000,0.49723492944117137,0.48433749769216566,0.49726,0.4980592355075521,0.47135156717907767,4.6397645473480225,9552,kip_m6,2026-09-10T15:23:10.862717
basic,0.3,120000,50000,0.4984808910780871,0.5395544962874691,0.4977,0.4988135593220339,0.5875424236374526,5.4403393268585205,9552,kip_m6,2026-09-10T15:23:16.520785
basic,0.5,200000,50000,0.5016137372285087,0.5166045934202359,0.5016,0.5023578677330517,0.5316829706528249,7.0356433391571045,9552,kip_m6,2026-09-10T15:23:23.804247
basic,0.75,300000,50000,0.5036045860788588,0.5347226112449349,0.50166,0.5022449838641785,0.5716909562786984,4.294588804244995,9552,kip_m6,2026-09-10T15:23:28.316207
basic,1.0,400000,50000,0.5039146206833711,0.5189416600729491,0.50146,0.5022037950097117,0.5368336993411859,6.211265563964844,9552,kip_m6,2026-09-10T15:23:34.770633
categorical,0.01,4000,50000,0.5030223945925584,0.5064996829422955,0.50192,0.5027735158739526,0.5102814933120383,1.6571707725524902,9552,kip_m6,2026-09-10T15:23:36.643850
categorical,0.1,40000,50000,0.5013666468279356,0.49760630808223033,0.50048,0.5013985163565609,0.4938710321421441,4.6700568199157715,9552,kip_m6,2026-09-10T15:23:41.529940
categorical,0.3,120000,50000,0.4996317084067352,0.5337758469598941,0.4999,0.5006995942353435,0.5715312437612298,2.5844433307647705,9552,kip_m6,2026-09-10T15:23:44.331900
categorical,0.5,200000,50000,0.4996030971140346,0.4841137296138224,0.49958,0.5005115961800819,0.4687562387702136,6.107084512710571,9552,kip_m6,2026-09-10T15:23:50.665573
categorical,0.75,300000,50000,0.49979664094111664,0.5031867431485022,0.50112,0.5020069149147558,0.5043721301657017,8.319709062576294,9552,kip_m6,2026-09-10T15:23:59.205766
categorical,1.0,400000,50000,0.49782630495722807,0.5109797627901514,0.50028,0.5011324810933241,0.5212218007586344,6.096900939941406,9552,kip_m6,2026-09-10T15:24:05.518875
tfidf,0.01,4000,50000,0.4970661400942939,0.32234648886977096,0.49588,0.49337503086165746,0.2393691355559992,7.0354204177856445,9552,kip_m6,2026-09-10T15:24:12.768925
tfidf,0.1,40000,50000,0.4999609622735178,0.48265578727193653,0.50038,0.5013768178297909,0.4652824915152725,6.1700966358184814,9552,kip_m6,2026-09-10T15:24:19.164478
tfidf,0.3,120000,50000,0.5030698107461868,0.5076124089176755,0.5013,0.5021487732458196,0.5131962467558395,10.72452998161316,9552,kip_m6,2026-09-10T15:24:30.128751
tfidf,0.5,200000,50000,0.5025608226970656,0.49578913272329744,0.50188,0.5028540922344051,0.4889199441006189,14.663284063339233,9552,kip_m6,2026-09-10T15:24:45.018174
tfidf,0.75,300000,50000,0.4997090222572321,0.5090681431338407,0.49814,0.4990793309805125,0.5194649630664804,16.127445459365845,9552,kip_m6,2026-09-10T15:25:01.379792
tfidf,1.0,400000,50000,0.5041743903250246,0.5512990191634788,0.50502,0.5049149840595112,0.6070672788979836,19.76188349723816,9552,kip_m6,2026-09-10T15:25:21.376242
